instance,pricing,customers,facilities,status,iterations,pricing_calls,columns,reached_optimality,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
p11-f25-v1t1,dp,25,5,lp_optimal,10,50,601,1,5.727400,0.020000,3.257700,8462.083206,8579.915458,3
p11-f25-v1t1,ip,25,5,lp_optimal,10,50,601,1,5.915500,0.024400,3.603000,8462.083206,8579.915458,3
p11-f30-v1t1,dp,30,5,lp_optimal,12,60,699,1,15.939800,0.033200,15.841300,8757.634451,8780.479445,3
p11-f30-v1t1,ip,30,5,lp_optimal,12,60,699,1,16.624900,0.035900,16.511400,8757.634451,8780.479445,3
p11-f30-v2t2,ip,30,5,lp_optimal,13,65,786,1,297.551800,0.045100,294.269100,8037.243319,8421.879352,3
p11-l30-v1t1,dp,30,5,lp_optimal,12,60,741,1,24.187500,0.030600,24.065900,11283.585584,11314.573897,4
p11-l30-v1t1,ip,30,5,lp_optimal,12,60,741,1,24.189800,0.031200,24.066000,11283.585584,11314.573897,4
