instance,n,f,regime,seed,pricing,status,iterations,pricing_calls,total_columns,seed_columns,phase1_route_columns,phase2_pairing_columns,max_routes_per_column,avg_routes_per_pairing,reached_optimality,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
lrsp_n007_f02_easy_s1,7,2,easy,1,ip,lp_optimal,8,16,146,14,130,2,2,2.0000,1,0.276000,0.003200,0.267100,716.685933,750.214877,1
lrsp_n007_f02_easy_s2,7,2,easy,2,dp,lp_optimal,7,14,123,14,107,2,2,2.0000,1,9.643800,0.003200,9.636100,746.681146,787.824304,1
lrsp_n007_f02_easy_s2,7,2,easy,2,ip,lp_optimal,7,14,123,14,107,2,2,2.0000,1,0.244900,0.002800,0.238000,746.681146,787.824304,1
lrsp_n007_f02_easy_s3,7,2,easy,3,dp,lp_optimal,6,12,137,14,121,2,2,2.0000,1,9.773100,0.003200,9.764500,946.880828,961.352764,1
lrsp_n007_f02_easy_s3,7,2,easy,3,ip,lp_optimal,6,12,137,14,121,2,2,2.0000,1,0.204700,0.002900,0.196800,946.880828,961.352764,1
lrsp_n007_f02_moderate_s1,7,2,moderate,1,dp,lp_optimal,7,14,126,14,112,0,1,0.0000,1,4.441400,0.003100,4.433400,831.816691,888.767843,1
lrsp_n007_f02_moderate_s1,7,2,moderate,1,ip,lp_optimal,7,14,126,14,112,0,1,0.0000,1,0.071600,0.002700,0.064400,831.816691,888.767843,1
lrsp_n007_f02_moderate_s2,7,2,moderate,2,dp,lp_optimal,7,14,149,14,135,0,1,0.0000,1,5.513800,0.003300,5.507800,823.916555,823.916555,1
lrsp_n007_f02_moderate_s2,7,2,moderate,2,ip,lp_optimal,7,14,149,14,135,0,1,0.0000,1,0.067900,0.002900,0.062700,823.916555,823.916555,1
lrsp_n007_f02_moderate_s3,7,2,moderate,3,dp,lp_optimal,5,10,110,14,96,0,1,0.0000,1,2.741000,0.002900,2.732500,1090.605556,1138.916863,1
lrsp_n007_f02_moderate_s3,7,2,moderate,3,ip,lp_optimal,5,10,110,14,96,0,1,0.0000,1,0.054100,0.002500,0.046400,1090.605556,1138.916863,1
lrsp_n007_f02_tight_s1,7,2,tight,1,dp,lp_optimal,5,10,82,14,68,0,1,0.0000,1,0.149100,0.002400,0.145000,1207.368395,1207.368395,2
lrsp_n007_f02_tight_s1,7,2,tight,1,ip,lp_optimal,5,10,82,14,68,0,1,0.0000,1,0.013500,0.002400,0.009400,1207.368395,1207.368395,2
lrsp_n007_f02_tight_s2,7,2,tight,2,dp,lp_optimal,5,10,73,14,59,0,1,0.0000,1,0.399800,0.002300,0.393100,1271.649258,1280.941849,2
lrsp_n007_f02_tight_s2,7,2,tight,2,ip,lp_optimal,5,10,73,14,59,0,1,0.0000,1,0.015400,0.002200,0.010900,1271.649258,1280.941849,2
lrsp_n007_f02_tight_s3,7,2,tight,3,dp,lp_optimal,4,8,60,14,46,0,1,0.0000,1,0.174600,0.002100,0.170900,1775.047301,1775.047301,2
lrsp_n007_f02_tight_s3,7,2,tight,3,ip,lp_optimal,4,8,60,14,46,0,1,0.0000,1,0.013300,0.002000,0.009900,1775.047301,1775.047301,2
lrsp_n008_f02_easy_s1,8,2,easy,1,ip,lp_optimal,8,16,133,16,115,2,2,2.0000,1,0.772600,0.003200,0.764700,903.457946,943.297575,1
lrsp_n008_f02_easy_s2,8,2,easy,2,ip,lp_optimal,6,12,157,16,139,2,2,2.0000,1,0.897600,0.003100,0.889600,754.999626,778.943466,1
lrsp_n008_f02_easy_s3,8,2,easy,3,ip,lp_optimal,8,16,173,16,155,2,2,2.0000,1,0.696300,0.003900,0.688700,807.954734,807.954734,1
lrsp_n008_f02_moderate_s1,8,2,moderate,1,dp,time_limit,1,2,49,16,32,1,3,3.0000,0,30.837500,0.002000,30.834000,1047.109269,1047.109269,1
lrsp_n008_f02_moderate_s1,8,2,moderate,1,ip,lp_optimal,8,16,146,16,129,1,3,3.0000,1,0.107900,0.002900,0.102600,1047.109269,1047.109269,1
lrsp_n008_f02_moderate_s2,8,2,moderate,2,ip,lp_optimal,7,14,145,16,129,0,1,0.0000,1,0.185100,0.002900,0.179800,832.041328,832.041328,1
lrsp_n008_f02_moderate_s3,8,2,moderate,3,ip,lp_optimal,6,12,140,16,124,0,1,0.0000,1,0.088700,0.002800,0.082000,914.000707,955.703586,1
lrsp_n008_f02_tight_s1,8,2,tight,1,dp,lp_optimal,6,12,88,16,72,0,1,0.0000,1,3.433700,0.002800,3.428600,1649.515591,1650.541539,2
lrsp_n008_f02_tight_s1,8,2,tight,1,ip,lp_optimal,6,12,88,16,72,0,1,0.0000,1,0.017500,0.002500,0.013000,1649.515591,1650.541539,2
lrsp_n008_f02_tight_s2,8,2,tight,2,dp,lp_optimal,5,10,97,16,81,0,1,0.0000,1,8.684900,0.002600,8.680100,1274.684591,1274.684591,2
lrsp_n008_f02_tight_s2,8,2,tight,2,ip,lp_optimal,5,10,97,16,81,0,1,0.0000,1,0.019300,0.002400,0.014800,1274.684591,1274.684591,2
lrsp_n008_f02_tight_s3,8,2,tight,3,dp,lp_optimal,5,10,76,16,60,0,1,0.0000,1,4.662200,0.002400,4.656700,1422.824244,1446.494172,2
lrsp_n008_f02_tight_s3,8,2,tight,3,ip,lp_optimal,5,10,76,16,60,0,1,0.0000,1,0.014900,0.002100,0.010000,1422.824244,1446.494172,2
lrsp_n009_f03_easy_s1,9,3,easy,1,ip,lp_optimal,11,33,340,27,310,3,2,2.0000,1,2.503800,0.005400,2.492900,657.158292,657.158292,1
lrsp_n009_f03_easy_s2,9,3,easy,2,ip,lp_optimal,10,30,302,27,272,3,2,2.0000,1,5.820600,0.005200,5.802300,646.755153,680.907332,1
lrsp_n009_f03_easy_s3,9,3,easy,3,ip,lp_optimal,10,30,301,27,271,3,2,2.0000,1,2.690400,0.004600,2.676500,752.900704,765.495990,1
lrsp_n009_f03_moderate_s1,9,3,moderate,1,ip,lp_optimal,7,21,182,27,155,0,1,0.0000,1,0.184300,0.003000,0.177900,984.274907,989.589767,2
lrsp_n009_f03_moderate_s2,9,3,moderate,2,ip,lp_optimal,6,18,197,27,170,0,1,0.0000,1,0.427200,0.002900,0.420200,972.727933,1001.357593,2
lrsp_n009_f03_moderate_s3,9,3,moderate,3,ip,lp_optimal,6,18,192,27,165,0,1,0.0000,1,0.246300,0.002900,0.161400,1139.495361,1200.491571,2
lrsp_n009_f03_tight_s1,9,3,tight,1,dp,lp_optimal,4,12,106,27,79,0,1,0.0000,1,17.653400,0.002500,17.648200,1359.215127,1366.730211,3
lrsp_n009_f03_tight_s1,9,3,tight,1,ip,lp_optimal,4,12,106,27,79,0,1,0.0000,1,0.016800,0.002200,0.012300,1359.215127,1366.730211,3
lrsp_n009_f03_tight_s2,9,3,tight,2,ip,lp_optimal,4,12,111,26,85,0,1,0.0000,1,0.022300,0.002300,0.017700,1359.582735,1369.282981,3
lrsp_n009_f03_tight_s3,9,3,tight,3,ip,lp_optimal,4,12,93,27,66,0,1,0.0000,1,0.019900,0.002300,0.014200,1512.148786,1517.968289,3
lrsp_n010_f03_easy_s1,10,3,easy,1,ip,lp_optimal,11,33,365,30,332,3,2,2.0000,1,12.561100,0.005700,12.548900,719.199554,719.199554,1
lrsp_n010_f03_easy_s2,10,3,easy,2,ip,lp_optimal,12,36,418,30,385,3,2,2.0000,1,32.270000,0.008200,32.246200,852.613272,899.512180,1
lrsp_n010_f03_easy_s3,10,3,easy,3,ip,lp_optimal,10,30,302,30,269,3,2,2.0000,1,9.913000,0.005900,9.900900,815.121385,815.121385,1
lrsp_n010_f03_moderate_s1,10,3,moderate,1,ip,lp_optimal,8,24,254,30,223,1,3,3.0000,1,0.598100,0.004400,0.588700,1140.010978,1149.825276,2
lrsp_n010_f03_moderate_s2,10,3,moderate,2,ip,lp_optimal,8,24,289,30,259,0,1,0.0000,1,3.043200,0.004900,2.986300,1397.602617,1442.861816,2
lrsp_n010_f03_moderate_s3,10,3,moderate,3,ip,lp_optimal,7,21,215,30,185,0,1,0.0000,1,0.540600,0.004300,0.525800,1285.330603,1322.917485,2
lrsp_n010_f03_tight_s1,10,3,tight,1,ip,lp_optimal,6,18,148,30,118,0,1,0.0000,1,0.056500,0.003300,0.046900,1647.759741,1670.267056,3
lrsp_n010_f03_tight_s2,10,3,tight,2,ip,lp_optimal,8,24,221,30,191,0,1,0.0000,1,0.147700,0.003400,0.139900,1971.433985,1973.666963,3
lrsp_n010_f03_tight_s3,10,3,tight,3,ip,lp_optimal,5,15,151,30,121,0,1,0.0000,1,0.033400,0.002500,0.028200,1801.205049,1804.882336,3
lrsp_n011_f03_easy_s1,11,3,easy,1,ip,time_limit,3,9,180,33,144,3,2,2.0000,0,31.201600,0.002900,31.194500,857.480674,857.480674,1
lrsp_n011_f03_easy_s3,11,3,easy,3,ip,time_limit,3,9,180,33,144,3,2,2.0000,0,30.652500,0.003200,30.645500,826.917581,826.917581,1
lrsp_n011_f03_moderate_s1,11,3,moderate,1,ip,lp_optimal,11,33,371,33,338,0,1,0.0000,1,1.409700,0.006000,1.396800,1332.979279,1332.979279,2
lrsp_n011_f03_moderate_s2,11,3,moderate,2,ip,lp_optimal,8,24,277,33,244,0,1,0.0000,1,5.215800,0.005500,5.183200,1061.264289,1141.565316,2
lrsp_n011_f03_moderate_s3,11,3,moderate,3,ip,lp_optimal,8,24,270,33,237,0,1,0.0000,1,1.239900,0.005400,1.121300,1336.847110,1401.888868,2
lrsp_n011_f03_tight_s1,11,3,tight,1,ip,lp_optimal,7,21,170,31,139,0,1,0.0000,1,0.063600,0.004400,0.054900,1911.972101,1955.729143,3
lrsp_n011_f03_tight_s2,11,3,tight,2,ip,lp_optimal,5,15,152,32,120,0,1,0.0000,1,0.093500,0.003300,0.086600,1451.700016,1452.930987,3
lrsp_n011_f03_tight_s3,11,3,tight,3,ip,lp_optimal,6,18,197,33,164,0,1,0.0000,1,0.052000,0.003800,0.044600,1841.153035,1845.752926,3
lrsp_n012_f04_moderate_s1,12,4,moderate,1,ip,lp_optimal,8,32,372,48,324,0,1,0.0000,1,2.834600,0.005500,1.530100,1058.094215,1171.489489,2
lrsp_n012_f04_moderate_s2,12,4,moderate,2,ip,lp_optimal,12,48,472,48,424,0,1,0.0000,1,12.131200,0.009000,10.098200,961.543128,1184.953083,3
lrsp_n012_f04_moderate_s3,12,4,moderate,3,ip,lp_optimal,9,36,441,48,393,0,1,0.0000,1,2.607800,0.005800,2.375000,1267.417474,1427.855133,2
lrsp_n012_f04_tight_s1,12,4,tight,1,ip,lp_optimal,5,20,164,39,125,0,1,0.0000,1,0.642300,0.002900,0.021000,1460.016491,1665.115667,3
lrsp_n012_f04_tight_s2,12,4,tight,2,ip,lp_optimal,6,24,209,48,161,0,1,0.0000,1,0.220900,0.003100,0.137500,1249.021520,1395.946072,3
lrsp_n012_f04_tight_s3,12,4,tight,3,ip,lp_optimal,6,24,199,48,151,0,1,0.0000,1,0.106000,0.005300,0.068900,1792.999674,1852.543772,3
lrsp_n013_f04_moderate_s1,13,4,moderate,1,ip,lp_optimal,9,36,483,52,431,0,1,0.0000,1,7.305600,0.006900,5.516200,1133.993097,1428.677079,2
lrsp_n013_f04_moderate_s2,13,4,moderate,2,ip,lp_optimal,10,40,443,52,391,0,1,0.0000,1,31.709900,0.007200,29.952400,903.781308,1134.436445,3
lrsp_n013_f04_moderate_s3,13,4,moderate,3,ip,lp_optimal,11,44,496,52,444,0,1,0.0000,1,10.731700,0.006800,9.735200,1422.867004,1739.735130,2
lrsp_n013_f04_tight_s1,13,4,tight,1,ip,lp_optimal,6,24,272,50,222,0,1,0.0000,1,0.408200,0.004700,0.167600,1655.156746,1752.714932,3
lrsp_n013_f04_tight_s2,13,4,tight,2,ip,lp_optimal,6,24,247,51,196,0,1,0.0000,1,0.274900,0.006500,0.248900,1249.472041,1275.412208,3
lrsp_n013_f04_tight_s3,13,4,tight,3,ip,lp_optimal,6,24,218,50,168,0,1,0.0000,1,0.259300,0.003100,0.078800,2003.826724,2125.101026,3
lrsp_n014_f04_moderate_s1,14,4,moderate,1,ip,lp_optimal,11,44,501,56,445,0,1,0.0000,1,10.532700,0.010900,10.497600,1262.547736,1273.325885,2
lrsp_n014_f04_moderate_s2,14,4,moderate,2,ip,time_limit,1,4,120,56,64,0,1,0.0000,0,38.028700,0.002800,38.017300,1985.708061,1987.697352,3
