instance,n,f,regime,seed,pricing,status,iterations,pricing_calls,total_columns,seed_columns,phase1_route_columns,phase2_pairing_columns,max_routes_per_column,avg_routes_per_pairing,reached_optimality,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
lrsp_n007_f02_easy_s1,7,2,easy,1,dp,lp_optimal,9,18,145,14,129,2,2,2.0000,1,25.499400,0.008000,25.477600,716.685933,750.214877,1
lrsp_n007_f02_easy_s1,7,2,easy,1,ip,lp_optimal,8,16,146,14,130,2,2,2.0000,1,0.528500,0.006900,0.510500,716.685933,750.214877,1
lrsp_n007_f02_easy_s2,7,2,easy,2,dp,lp_optimal,7,14,123,14,107,2,2,2.0000,1,16.409700,0.005600,16.395400,746.681146,787.824304,1
lrsp_n007_f02_easy_s2,7,2,easy,2,ip,lp_optimal,7,14,123,14,107,2,2,2.0000,1,0.502800,0.006000,0.487200,746.681146,787.824304,1
lrsp_n007_f02_easy_s3,7,2,easy,3,dp,lp_optimal,6,12,137,14,121,2,2,2.0000,1,17.412400,0.006400,17.396300,946.880828,961.352764,1
lrsp_n007_f02_easy_s3,7,2,easy,3,ip,lp_optimal,6,12,137,14,121,2,2,2.0000,1,0.336500,0.005400,0.322600,946.880828,961.352764,1
lrsp_n007_f02_moderate_s1,7,2,moderate,1,dp,lp_optimal,7,14,126,14,112,0,1,0.0000,1,7.039800,0.005200,7.025900,831.816691,888.767843,1
lrsp_n007_f02_moderate_s1,7,2,moderate,1,ip,lp_optimal,7,14,126,14,112,0,1,0.0000,1,0.111900,0.005400,0.099000,831.816691,888.767843,1
lrsp_n007_f02_moderate_s2,7,2,moderate,2,dp,lp_optimal,7,14,149,14,135,0,1,0.0000,1,9.050100,0.006300,9.038900,823.916555,823.916555,1
lrsp_n007_f02_moderate_s2,7,2,moderate,2,ip,lp_optimal,7,14,149,14,135,0,1,0.0000,1,0.115400,0.005100,0.105800,823.916555,823.916555,1
