method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
ip,lrsp_n008_f02_moderate_s2,8,2,,0.186500,0.181100,0.003000,7,145,832.041328,lp_optimal,reached_optimality=1,moderate,2,832.041328,0
ip,lrsp_n008_f02_moderate_s3,8,2,,0.087100,0.080800,0.002700,6,140,955.703586,lp_optimal,reached_optimality=1,moderate,3,914.000707,0
dp,lrsp_n008_f02_tight_s1,8,2,,3.550800,3.546000,0.002700,6,88,1650.541539,lp_optimal,reached_optimality=1,tight,1,1649.515591,0
ip,lrsp_n008_f02_tight_s1,8,2,,0.016600,0.012300,0.002400,6,88,1650.541539,lp_optimal,reached_optimality=1,tight,1,1649.515591,0
dp,lrsp_n008_f02_tight_s2,8,2,,9.089700,9.084900,0.002600,5,97,1274.684591,lp_optimal,reached_optimality=1,tight,2,1274.684591,0
ip,lrsp_n008_f02_tight_s2,8,2,,0.019000,0.014800,0.002300,5,97,1274.684591,lp_optimal,reached_optimality=1,tight,2,1274.684591,0
dp,lrsp_n008_f02_tight_s3,8,2,,4.813200,4.807800,0.002400,5,76,1446.494172,lp_optimal,reached_optimality=1,tight,3,1422.824244,0
ip,lrsp_n008_f02_tight_s3,8,2,,0.013700,0.008700,0.002100,5,76,1446.494172,lp_optimal,reached_optimality=1,tight,3,1422.824244,0
ip,lrsp_n008_f04_easy_s1,8,4,,1.517700,1.502500,0.004300,8,416,1224.693721,lp_optimal,reached_optimality=1,easy,1,1214.990184,4
ip,lrsp_n008_f04_easy_s2,8,4,,1.509200,1.502300,0.003300,6,244,803.589975,lp_optimal,reached_optimality=1,easy,2,803.589975,4
ip,lrsp_n008_f04_easy_s3,8,4,,0.891600,0.884500,0.003100,6,262,963.789684,lp_optimal,reached_optimality=1,easy,3,963.789684,4
ip,lrsp_n008_f04_moderate_s1,8,4,,0.157100,0.150000,0.003000,7,203,1751.563950,lp_optimal,reached_optimality=1,moderate,1,1719.891013,2
ip,lrsp_n008_f04_moderate_s2,8,4,,0.331300,0.251100,0.003500,7,243,972.911154,lp_optimal,reached_optimality=1,moderate,2,864.819187,0
ip,lrsp_n008_f04_moderate_s3,8,4,,0.204400,0.144100,0.002600,5,186,1171.745000,lp_optimal,reached_optimality=1,moderate,3,1041.462333,0
dp,lrsp_n008_f04_tight_s1,8,4,,7.237100,7.085300,0.002700,5,171,2038.124592,lp_optimal,reached_optimality=1,tight,1,1854.164633,0
ip,lrsp_n008_f04_tight_s1,8,4,,0.169800,0.022700,0.002600,5,171,2038.124592,lp_optimal,reached_optimality=1,tight,1,1854.164633,0
dp,lrsp_n008_f04_tight_s2,8,4,,0.447000,0.443000,0.002200,3,98,1099.869557,lp_optimal,reached_optimality=1,tight,2,1099.869557,0
ip,lrsp_n008_f04_tight_s2,8,4,,0.013600,0.009600,0.002100,3,98,1099.869557,lp_optimal,reached_optimality=1,tight,2,1099.869557,0
dp,lrsp_n008_f04_tight_s3,8,4,,7.679900,7.614300,0.002300,4,140,1575.801475,lp_optimal,reached_optimality=1,tight,3,1442.880094,0
ip,lrsp_n008_f04_tight_s3,8,4,,0.078800,0.013500,0.002300,4,140,1575.801475,lp_optimal,reached_optimality=1,tight,3,1442.880094,0
ip,lrsp_n010_f02_easy_s1,10,2,,8.907200,8.897200,0.004700,11,290,874.381974,lp_optimal,reached_optimality=1,easy,1,874.381974,3
ip,lrsp_n010_f02_easy_s2,10,2,,20.365300,20.346200,0.005300,11,282,964.320594,lp_optimal,reached_optimality=1,easy,2,915.261406,3
ip,lrsp_n010_f02_easy_s3,10,2,,6.337800,6.328900,0.004300,10,245,841.427508,lp_optimal,reached_optimality=1,easy,3,841.427508,2
ip,lrsp_n010_f02_moderate_s1,10,2,,0.543900,0.537300,0.003300,10,211,984.441414,lp_optimal,reached_optimality=1,moderate,1,984.441414,1
ip,lrsp_n010_f02_moderate_s2,10,2,,2.383200,2.332200,0.004200,9,225,1160.585257,lp_optimal,reached_optimality=1,moderate,2,1061.305308,0
ip,lrsp_n010_f02_moderate_s3,10,2,,0.388700,0.379200,0.003500,8,178,992.775072,lp_optimal,reached_optimality=1,moderate,3,967.300744,0
ip,lrsp_n010_f02_tight_s1,10,2,,0.039700,0.034600,0.002500,6,127,1669.134265,lp_optimal,reached_optimality=1,tight,1,1656.349569,0
ip,lrsp_n010_f02_tight_s2,10,2,,0.101800,0.092300,0.002900,8,161,1721.295887,lp_optimal,reached_optimality=1,tight,2,1704.596987,0
ip,lrsp_n010_f02_tight_s3,10,2,,0.031500,0.026500,0.002500,7,112,1514.466177,lp_optimal,reached_optimality=1,tight,3,1508.057797,0
ip,lrsp_n010_f03_easy_s1,10,3,,12.261600,12.249900,0.005400,11,365,719.199554,lp_optimal,reached_optimality=1,easy,1,719.199554,3
ip,lrsp_n010_f03_easy_s2,10,3,,30.308900,30.286900,0.007800,12,418,899.512180,lp_optimal,reached_optimality=1,easy,2,852.613272,3
ip,lrsp_n010_f03_easy_s3,10,3,,8.727400,8.717300,0.004800,10,302,815.121385,lp_optimal,reached_optimality=1,easy,3,815.121385,3
ip,lrsp_n010_f03_moderate_s1,10,3,,0.552300,0.544800,0.003400,8,254,1149.825276,lp_optimal,reached_optimality=1,moderate,1,1140.010978,1
ip,lrsp_n010_f03_moderate_s2,10,3,,2.715500,2.672900,0.003700,8,289,1442.861816,lp_optimal,reached_optimality=1,moderate,2,1397.602617,0
ip,lrsp_n010_f03_moderate_s3,10,3,,0.483600,0.471900,0.003300,7,215,1322.917485,lp_optimal,reached_optimality=1,moderate,3,1285.330603,0
ip,lrsp_n010_f03_tight_s1,10,3,,0.049100,0.040900,0.002600,6,148,1670.267056,lp_optimal,reached_optimality=1,tight,1,1647.759741,0
ip,lrsp_n010_f03_tight_s2,10,3,,0.141900,0.134500,0.003200,8,221,1973.666963,lp_optimal,reached_optimality=1,tight,2,1971.433985,0
ip,lrsp_n010_f03_tight_s3,10,3,,0.030800,0.025700,0.002400,5,151,1804.882336,lp_optimal,reached_optimality=1,tight,3,1801.205049,0
ip,lrsp_n010_f05_easy_s1,10,5,,20.419000,20.401800,0.006400,11,600,1048.622481,lp_optimal,reached_optimality=1,easy,1,1046.271750,5
