method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
ip,mespprc_n006_rep4,6,,,0.001946,0.001946,,,40,326.926638903,feasible,standalone_phase2; phase1_ms=0.421600,,18349,,
dp,mespprc_n007_rep0,7,,,0.089850,0.089850,,,36,404.758652086,feasible,standalone_phase2; phase1_ms=0.822100,,19345,,
ip,mespprc_n007_rep0,7,,,0.005377,0.005377,,,36,404.758652086,feasible,standalone_phase2; phase1_ms=0.822100,,19345,,
dp,mespprc_n007_rep1,7,,,0.146606,0.146606,,,49,318.261944537,feasible,standalone_phase2; phase1_ms=0.889200,,19346,,
ip,mespprc_n007_rep1,7,,,0.005632,0.005632,,,49,318.261944537,feasible,standalone_phase2; phase1_ms=0.889200,,19346,,
dp,mespprc_n007_rep2,7,,,0.225589,0.225589,,,56,385.456281218,feasible,standalone_phase2; phase1_ms=0.931000,,19347,,
ip,mespprc_n007_rep2,7,,,0.007379,0.007379,,,56,385.456281218,feasible,standalone_phase2; phase1_ms=0.931000,,19347,,
dp,mespprc_n007_rep3,7,,,0.250847,0.250847,,,53,400.866800871,feasible,standalone_phase2; phase1_ms=0.859900,,19348,,
ip,mespprc_n007_rep3,7,,,0.002848,0.002848,,,53,400.866800871,feasible,standalone_phase2; phase1_ms=0.859900,,19348,,
dp,mespprc_n007_rep4,7,,,0.193719,0.193719,,,79,372.352880249,feasible,standalone_phase2; phase1_ms=0.774800,,19349,,
ip,mespprc_n007_rep4,7,,,0.010533,0.010533,,,79,372.352880249,feasible,standalone_phase2; phase1_ms=0.774800,,19349,,
dp,mespprc_n008_rep0,8,,,4.149627,4.149627,,,97,367.678468291,feasible,standalone_phase2; phase1_ms=1.402900,,20345,,
ip,mespprc_n008_rep0,8,,,0.008955,0.008955,,,97,367.678468291,feasible,standalone_phase2; phase1_ms=1.402900,,20345,,
dp,mespprc_n008_rep1,8,,,2.991107,2.991107,,,88,378.263501199,feasible,standalone_phase2; phase1_ms=1.536400,,20346,,
ip,mespprc_n008_rep1,8,,,0.003982,0.003982,,,88,378.263501199,feasible,standalone_phase2; phase1_ms=1.536400,,20346,,
dp,mespprc_n008_rep2,8,,,2.716222,2.716222,,,70,354.161880487,feasible,standalone_phase2; phase1_ms=1.597800,,20347,,
ip,mespprc_n008_rep2,8,,,0.003213,0.003213,,,70,354.161880487,feasible,standalone_phase2; phase1_ms=1.597800,,20347,,
dp,mespprc_n008_rep3,8,,,2.550181,2.550181,,,81,438.867865687,feasible,standalone_phase2; phase1_ms=1.553800,,20348,,
ip,mespprc_n008_rep3,8,,,0.002947,0.002947,,,81,438.867865687,feasible,standalone_phase2; phase1_ms=1.553800,,20348,,
dp,mespprc_n008_rep4,8,,,6.285633,6.285633,,,108,475.874218321,feasible,standalone_phase2; phase1_ms=1.949700,,20349,,
ip,mespprc_n008_rep4,8,,,0.006584,0.006584,,,108,475.874218321,feasible,standalone_phase2; phase1_ms=1.949700,,20349,,
dp,mespprc_n009_rep0,9,,,85.041068,85.041068,,,90,432.786841534,feasible,standalone_phase2; phase1_ms=2.982900,,21345,,
ip,mespprc_n009_rep0,9,,,0.003602,0.003602,,,90,432.786841534,feasible,standalone_phase2; phase1_ms=2.982900,,21345,,
dp,mespprc_n009_rep1,9,,,,,,,144,,infeasible,standalone_phase2; phase1_ms=2.927300,,21346,,
ip,mespprc_n009_rep1,9,,,0.003698,0.003698,,,144,483.984844605,feasible,standalone_phase2; phase1_ms=2.927300,,21346,,
dp,mespprc_n009_rep2,9,,,,,,,68,,infeasible,standalone_phase2; phase1_ms=3.060700,,21347,,
ip,mespprc_n009_rep2,9,,,0.007764,0.007764,,,68,343.951575849,feasible,standalone_phase2; phase1_ms=3.060700,,21347,,
dp,mespprc_n009_rep3,9,,,,,,,106,,infeasible,standalone_phase2; phase1_ms=2.865400,,21348,,
ip,mespprc_n009_rep3,9,,,0.002991,0.002991,,,106,478.820084684,feasible,standalone_phase2; phase1_ms=2.865400,,21348,,
dp,mespprc_n009_rep4,9,,,,,,,151,,infeasible,standalone_phase2; phase1_ms=3.294100,,21349,,
ip,mespprc_n009_rep4,9,,,0.010079,0.010079,,,151,436.822563114,feasible,standalone_phase2; phase1_ms=3.294100,,21349,,
dp,mespprc_n010_rep0,10,,,,,,,183,,infeasible,standalone_phase2; phase1_ms=5.117600,,22345,,
ip,mespprc_n010_rep0,10,,,0.020227,0.020227,,,183,491.838498622,feasible,standalone_phase2; phase1_ms=5.117600,,22345,,
dp,mespprc_n010_rep1,10,,,,,,,114,,infeasible,standalone_phase2; phase1_ms=4.879300,,22346,,
ip,mespprc_n010_rep1,10,,,0.004992,0.004992,,,114,539.090635785,feasible,standalone_phase2; phase1_ms=4.879300,,22346,,
dp,mespprc_n010_rep2,10,,,,,,,102,,infeasible,standalone_phase2; phase1_ms=3.982600,,22347,,
ip,mespprc_n010_rep2,10,,,0.007105,0.007105,,,102,580.886631950,feasible,standalone_phase2; phase1_ms=3.982600,,22347,,
