method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
dp,p01-f25-v1t1,25,5,,2.507657399997697,2.465488500005449,0.04086670000106096,1,140,9810.47256200881,iteration_limit,python_solver; vehicle_time_limit=140.0,,,9810.47256200881,
ip,p01-f25-v1t1,25,5,,2.5128917999973055,2.4759627000021283,0.03597779999836348,1,140,9810.47256200881,iteration_limit,python_solver; vehicle_time_limit=140.0,,,9810.47256200881,
dp,p01-f25-v2t1,25,5,,3.892864900000859,3.8424786999894422,0.04935939999995753,1,140,9810.47256200881,iteration_limit,python_solver; vehicle_time_limit=140.0,,,9810.47256200881,
ip,p01-f25-v2t1,25,5,,3.9860926999972435,3.9503457999962848,0.03427889999875333,1,140,9810.47256200881,iteration_limit,python_solver; vehicle_time_limit=140.0,,,9810.47256200881,
