method,instance,n_customers,n_facilities,n_periods,total_time,pricing_time,master_time,iterations,columns_generated,objective,status,notes,regime,seed,root_lp_objective,phase2_pairing_columns
dp,lrsp_n005_f02_easy_s1,5,2,,0.038000,0.022000,0.005900,5,99,815.383240,lp_optimal,reached_optimality=1,easy,1,815.383240,0
ip,lrsp_n005_f02_easy_s1,5,2,,0.051700,0.045300,0.003500,5,99,815.383240,lp_optimal,reached_optimality=1,easy,1,815.383240,0
dp,lrsp_n005_f02_easy_s2,5,2,,0.026600,0.015900,0.002500,5,87,764.901398,lp_optimal,reached_optimality=1,easy,2,764.901398,0
ip,lrsp_n005_f02_easy_s2,5,2,,0.024800,0.016000,0.006900,5,87,764.901398,lp_optimal,reached_optimality=1,easy,2,764.901398,0
dp,lrsp_n005_f02_easy_s3,5,2,,0.019300,0.015400,0.002200,5,69,555.020443,lp_optimal,reached_optimality=1,easy,3,555.020443,0
ip,lrsp_n005_f02_easy_s3,5,2,,0.022100,0.018000,0.002300,5,69,555.020443,lp_optimal,reached_optimality=1,easy,3,555.020443,0
dp,lrsp_n005_f02_moderate_s1,5,2,,0.016600,0.006300,0.002100,4,69,962.552073,lp_optimal,reached_optimality=1,moderate,1,939.838047,2
ip,lrsp_n005_f02_moderate_s1,5,2,,0.020900,0.014200,0.003200,4,69,962.552073,lp_optimal,reached_optimality=1,moderate,1,939.838047,2
dp,lrsp_n005_f02_moderate_s2,5,2,,0.015000,0.009000,0.002100,4,73,839.691269,lp_optimal,reached_optimality=1,moderate,2,830.561185,2
ip,lrsp_n005_f02_moderate_s2,5,2,,0.018600,0.011800,0.003600,4,73,839.691269,lp_optimal,reached_optimality=1,moderate,2,830.561185,2
dp,lrsp_n005_f02_moderate_s3,5,2,,0.010100,0.006300,0.002200,4,69,601.230483,lp_optimal,reached_optimality=1,moderate,3,601.230483,2
ip,lrsp_n005_f02_moderate_s3,5,2,,0.012000,0.007900,0.002400,4,69,601.230483,lp_optimal,reached_optimality=1,moderate,3,601.230483,2
dp,lrsp_n005_f02_tight_s1,5,2,,0.005700,0.001200,0.001900,3,48,1597.946395,lp_optimal,reached_optimality=1,tight,1,1595.741536,0
ip,lrsp_n005_f02_tight_s1,5,2,,0.008000,0.004500,0.002000,3,48,1597.946395,lp_optimal,reached_optimality=1,tight,1,1595.741536,0
dp,lrsp_n005_f02_tight_s2,5,2,,0.009200,0.004000,0.002100,4,58,1383.580972,lp_optimal,reached_optimality=1,tight,2,1362.745437,0
ip,lrsp_n005_f02_tight_s2,5,2,,0.019300,0.014500,0.002200,4,58,1383.580972,lp_optimal,reached_optimality=1,tight,2,1362.745437,0
dp,lrsp_n005_f02_tight_s3,5,2,,0.004200,0.001000,0.002000,3,29,888.170092,lp_optimal,reached_optimality=1,tight,3,888.170092,0
ip,lrsp_n005_f02_tight_s3,5,2,,0.008400,0.004700,0.002000,3,29,888.170092,lp_optimal,reached_optimality=1,tight,3,888.170092,0
dp,lrsp_n006_f02_easy_s1,6,2,,0.389100,0.383800,0.002700,6,100,740.257882,lp_optimal,reached_optimality=1,easy,1,720.857751,2
ip,lrsp_n006_f02_easy_s1,6,2,,0.055200,0.050100,0.002600,6,100,740.257882,lp_optimal,reached_optimality=1,easy,1,720.857751,2
dp,lrsp_n006_f02_easy_s2,6,2,,0.189200,0.183800,0.002800,6,121,583.217786,lp_optimal,reached_optimality=1,easy,2,583.217786,0
ip,lrsp_n006_f02_easy_s2,6,2,,0.045100,0.039500,0.002900,6,121,583.217786,lp_optimal,reached_optimality=1,easy,2,583.217786,0
dp,lrsp_n006_f02_easy_s3,6,2,,0.436000,0.428800,0.002800,6,123,780.489880,lp_optimal,reached_optimality=1,easy,3,756.546655,2
ip,lrsp_n006_f02_easy_s3,6,2,,0.071400,0.062400,0.004600,6,123,780.489880,lp_optimal,reached_optimality=1,easy,3,756.546655,2
dp,lrsp_n006_f02_moderate_s1,6,2,,0.101700,0.096400,0.002500,4,66,816.655053,lp_optimal,reached_optimality=1,moderate,1,816.655053,1
ip,lrsp_n006_f02_moderate_s1,6,2,,0.017300,0.013100,0.002300,4,66,816.655053,lp_optimal,reached_optimality=1,moderate,1,816.655053,1
dp,lrsp_n006_f02_moderate_s2,6,2,,0.049400,0.044000,0.003500,4,80,645.732244,lp_optimal,reached_optimality=1,moderate,2,645.732244,0
ip,lrsp_n006_f02_moderate_s2,6,2,,0.014700,0.010400,0.002500,4,80,645.732244,lp_optimal,reached_optimality=1,moderate,2,645.732244,0
dp,lrsp_n006_f02_moderate_s3,6,2,,0.188900,0.183600,0.002800,5,96,814.288517,lp_optimal,reached_optimality=1,moderate,3,814.288517,2
ip,lrsp_n006_f02_moderate_s3,6,2,,0.039300,0.031700,0.002900,5,96,814.288517,lp_optimal,reached_optimality=1,moderate,3,814.288517,2
dp,lrsp_n006_f02_tight_s1,6,2,,0.011500,0.007400,0.002300,3,47,1328.409345,lp_optimal,reached_optimality=1,tight,1,1301.041192,0
ip,lrsp_n006_f02_tight_s1,6,2,,0.008800,0.005200,0.002100,3,47,1328.409345,lp_optimal,reached_optimality=1,tight,1,1301.041192,0
dp,lrsp_n006_f02_tight_s2,6,2,,0.006300,0.000200,0.004500,2,28,961.045475,lp_optimal,reached_optimality=1,tight,2,932.578555,0
ip,lrsp_n006_f02_tight_s2,6,2,,0.006400,0.000200,0.004800,2,28,961.045475,lp_optimal,reached_optimality=1,tight,2,932.578555,0
dp,lrsp_n006_f02_tight_s3,6,2,,0.023600,0.016500,0.005000,4,57,1378.811440,lp_optimal,reached_optimality=1,tight,3,1374.694261,0
dp,lrsp_n007_f02_easy_s1,7,2,,14.025900,14.016000,0.003800,9,145,750.214877,lp_optimal,reached_optimality=1,easy,1,716.685933,2
ip,lrsp_n007_f02_easy_s1,7,2,,0.276000,0.267100,0.003200,8,146,750.214877,lp_optimal,reached_optimality=1,easy,1,716.685933,2
dp,lrsp_n007_f02_easy_s2,7,2,,9.643800,9.636100,0.003200,7,123,787.824304,lp_optimal,reached_optimality=1,easy,2,746.681146,2
ip,lrsp_n007_f02_easy_s2,7,2,,0.244900,0.238000,0.002800,7,123,787.824304,lp_optimal,reached_optimality=1,easy,2,746.681146,2
dp,lrsp_n007_f02_easy_s3,7,2,,9.773100,9.764500,0.003200,6,137,961.352764,lp_optimal,reached_optimality=1,easy,3,946.880828,2
ip,lrsp_n007_f02_easy_s3,7,2,,0.204700,0.196800,0.002900,6,137,961.352764,lp_optimal,reached_optimality=1,easy,3,946.880828,2
dp,lrsp_n007_f02_moderate_s1,7,2,,4.441400,4.433400,0.003100,7,126,888.767843,lp_optimal,reached_optimality=1,moderate,1,831.816691,0
ip,lrsp_n007_f02_moderate_s1,7,2,,0.071600,0.064400,0.002700,7,126,888.767843,lp_optimal,reached_optimality=1,moderate,1,831.816691,0
dp,lrsp_n007_f02_moderate_s2,7,2,,5.513800,5.507800,0.003300,7,149,823.916555,lp_optimal,reached_optimality=1,moderate,2,823.916555,0
ip,lrsp_n007_f02_moderate_s2,7,2,,0.067900,0.062700,0.002900,7,149,823.916555,lp_optimal,reached_optimality=1,moderate,2,823.916555,0
dp,lrsp_n007_f02_moderate_s3,7,2,,2.741000,2.732500,0.002900,5,110,1138.916863,lp_optimal,reached_optimality=1,moderate,3,1090.605556,0
