instance,n,f,regime,seed,bv_factor,bf_factor,gt_factor,total_demand,mean_demand,max_demand,std_demand,vehicle_capacity,vehicle_time_limit,vehicle_fixed_cost,mean_cust_nearest_fac_dist,max_cust_nearest_fac_dist,mean_cust_cust_dist,demand_to_capacity_ratio,max_singleton_round_trip,avg_singleton_round_trip,gt_slack,bv_slack,dp_completed,dp_total_seconds,dp_master_seconds,dp_pricing_seconds,dp_iterations,dp_pricing_calls,dp_total_columns,dp_phase1_route_columns,dp_phase2_pairing_columns,dp_max_routes_per_column,dp_avg_pool_per_call,dp_root_lp,dp_integer,ip_completed,ip_total_seconds,ip_master_seconds,ip_pricing_seconds,ip_iterations,ip_pricing_calls,ip_total_columns,ip_phase1_route_columns,ip_phase2_pairing_columns,ip_max_routes_per_column,ip_avg_pool_per_call,ip_root_lp,ip_integer,winner,dp_useful,ip_useful,speedup_ip_over_dp,log_speedup,avg_pool_per_call
lrsp_n009_f03_easy_s1,9,3,easy,1,4.0,3.0,4.0,203.0,22.555555555555557,30.0,8.18007214191376,120.0,403.0294411551496,28.58041,28.58041049200206,50.3786801443937,53.31669252635201,0.3333333333333333,100.7573602887874,57.16082098400412,4.0,4.0,0,,,,,,,,,,,,,1,4.451600,0.009800,4.431000,11,33,340,310,3,2,10.3030,657.158292,657.158292,ip_only,0,1,,,10.3030
lrsp_n009_f03_easy_s2,9,3,easy,2,4.0,3.0,4.0,116.0,12.88888888888889,21.0,5.896221849520711,84.0,500.86189380328193,27.967904,27.967903558252544,62.60773672541024,55.953549297138565,0.3333333333333333,125.21547345082048,55.93580711650509,4.0,4.0,0,,,,,,,,,,,,,1,10.383500,0.008600,10.350700,10,30,302,272,3,2,10.0667,646.755153,680.907332,ip_only,0,1,,,10.0667
lrsp_n009_f03_easy_s3,9,3,easy,3,4.0,3.0,4.0,191.0,21.22222222222222,29.0,4.893936787898943,116.0,613.7964449271294,31.315497,31.315497386909005,76.72455561589118,57.86114884667735,0.3333333333333333,153.44911123178235,62.63099477381801,4.0,4.0,0,,,,,,,,,,,,,1,4.981400,0.009200,4.953900,10,30,301,271,3,2,10.0333,752.900704,765.495990,ip_only,0,1,,,10.0333
lrsp_n009_f03_moderate_s1,9,3,moderate,1,2.5,2.0,2.5,203.0,22.555555555555557,30.0,8.18007214191376,75.0,251.89340072196848,28.58041,28.58041049200206,50.3786801443937,53.31669252635201,0.5012345679012346,100.7573602887874,57.16082098400412,2.5,2.5,0,,,,,,,,,,,,,1,0.342500,0.005500,0.331000,7,21,182,155,0,1,8.6667,984.274907,989.589767,ip_only,0,1,,,8.6667
lrsp_n009_f03_moderate_s2,9,3,moderate,2,2.5,2.0,2.5,116.0,12.88888888888889,21.0,5.896221849520711,52.5,313.0386836270512,27.967904,27.967903558252544,62.60773672541024,55.953549297138565,0.5021645021645021,125.21547345082048,55.93580711650509,2.5,2.5,0,,,,,,,,,,,,,1,0.742600,0.005200,0.729800,6,18,197,170,0,1,10.9444,972.727933,1001.357593,ip_only,0,1,,,10.9444
lrsp_n009_f03_moderate_s3,9,3,moderate,3,2.5,2.0,2.5,191.0,21.22222222222222,29.0,4.893936787898943,72.5,383.6227780794559,31.315497,31.315497386909005,76.72455561589118,57.86114884667735,0.5013123359580053,153.44911123178235,62.63099477381801,2.5,2.5,0,,,,,,,,,,,,,1,0.413000,0.005000,0.278900,6,18,192,165,0,1,10.6667,1139.495361,1200.491571,ip_only,0,1,,,10.6667
lrsp_n009_f03_tight_s1,9,3,tight,1,1.7,1.4,1.7,203.0,22.555555555555557,30.0,8.18007214191376,51.0,171.28751249093858,28.58041,28.58041049200206,50.3786801443937,53.31669252635201,0.712280701754386,100.7573602887874,57.16082098400412,1.7000000000000002,1.7,1,31.878900,0.004200,31.869800,4,12,106,79,0,1,8.8333,1359.215127,1366.730211,1,0.031000,0.004100,0.022600,4,12,106,79,0,1,8.8333,1359.215127,1366.730211,ip,0,1,1028.351613,3.0121,8.8333
lrsp_n009_f03_tight_s2,9,3,tight,2,1.7,1.4,1.7,116.0,12.88888888888889,21.0,5.896221849520711,35.699999999999996,212.8663048663948,27.967904,27.967903558252544,62.60773672541024,55.953549297138565,0.7160493827160493,125.21547345082048,55.93580711650509,1.7,1.6999999999999997,1,131.108300,0.004700,131.098800,4,12,111,85,0,1,9.2500,1359.582735,1369.282981,1,0.038900,0.006300,0.028600,4,12,111,85,0,1,9.2500,1359.582735,1369.282981,ip,0,1,3370.393316,3.5277,9.2500
lrsp_n009_f03_tight_s3,9,3,tight,3,1.7,1.4,1.7,191.0,21.22222222222222,29.0,4.893936787898943,49.3,260.86348909403,31.315497,31.315497386909005,76.72455561589118,57.86114884667735,0.7153558052434457,153.44911123178235,62.63099477381801,1.7,1.7,1,214.080800,0.004200,214.069800,4,12,93,66,0,1,7.7500,1512.148786,1517.968289,1,0.031000,0.003700,0.021400,4,12,93,66,0,1,7.7500,1512.148786,1517.968289,ip,0,1,6905.832258,3.8392,7.7500
lrsp_n010_f03_easy_s1,10,3,easy,1,4.0,3.0,4.0,208.0,20.8,30.0,9.378699270154684,120.0,578.8927550678644,34.038825,34.03882458755542,72.36159438348305,50.51803773789468,0.3333333333333333,144.7231887669661,68.07764917511084,4.0,4.0,0,,,,,,,,,,,,,1,14.882500,0.007200,14.866200,11,33,365,332,3,2,11.0606,719.199554,719.199554,ip_only,0,1,,,11.0606
lrsp_n010_f03_easy_s2,10,3,easy,2,4.0,3.0,4.0,126.0,12.6,21.0,5.660388679233963,84.0,651.3797596970957,42.476464,42.47646390091802,81.42246996213696,53.61360800817867,0.3333333333333333,162.84493992427392,84.95292780183604,4.0,4.0,0,,,,,,,,,,,,,1,34.563700,0.010800,34.535500,12,36,418,385,3,2,11.6111,852.613272,899.512180,ip_only,0,1,,,11.6111
lrsp_n010_f03_easy_s3,10,3,easy,3,4.0,3.0,4.0,204.0,20.4,29.0,5.2573757712379665,116.0,651.7808762294767,37.129298,37.12929829839442,81.47260952868459,57.06550464880167,0.3333333333333333,162.94521905736917,74.25859659678883,4.0,4.0,0,,,,,,,,,,,,,1,9.511000,0.006100,9.498700,10,30,302,269,3,2,10.0667,815.121385,815.121385,ip_only,0,1,,,10.0667
lrsp_n010_f03_moderate_s1,10,3,moderate,1,2.5,2.0,2.5,208.0,20.8,30.0,9.378699270154684,75.0,361.8079719174153,34.038825,34.03882458755542,72.36159438348305,50.51803773789468,0.4988009592326139,144.7231887669661,68.07764917511084,2.5,2.5,0,,,,,,,,,,,,,1,0.616400,0.003900,0.608200,8,24,254,223,1,3,10.5833,1140.010978,1149.825276,ip_only,0,1,,,10.5833
lrsp_n010_f03_moderate_s2,10,3,moderate,2,2.5,2.0,2.5,126.0,12.6,21.0,5.660388679233963,52.5,407.1123498106848,42.476464,42.47646390091802,81.42246996213696,53.61360800817867,0.5,162.84493992427392,84.95292780183604,2.5,2.5,0,,,,,,,,,,,,,1,3.071000,0.005000,3.020800,8,24,289,259,0,1,12.0417,1397.602617,1442.861816,ip_only,0,1,,,12.0417
lrsp_n010_f03_moderate_s3,10,3,moderate,3,2.5,2.0,2.5,204.0,20.4,29.0,5.2573757712379665,72.5,407.36304764342293,37.129298,37.12929829839442,81.47260952868459,57.06550464880167,0.5,162.94521905736917,74.25859659678883,2.5,2.5,0,,,,,,,,,,,,,1,0.548000,0.003600,0.533700,7,21,215,185,0,1,10.2381,1285.330603,1322.917485,ip_only,0,1,,,10.2381
