instance,pricing,iterations,columns,total_seconds,master_seconds,pricing_seconds,root_lp_objective,integer_objective,open_facilities
p11-f25-v1t1,DP,10,582,4.296365,0.012985,3.478223,7255.959488,8576.621966,3
p11-f25-v1t1,IP,10,582,4.466025,0.011464,3.665480,7255.959488,8576.621966,3
